"land","name","area_km2","pop_tot","pop_male","pop_female","pop_density_km2","zip","lon","lat","ags","year","unem_tot","unem_foreigner","unem_capita"
"07","Seibersbach",14.64,1330,658,672,91,"55444",7.715269,49.960213,"07133095",2012,34,3,0.0255639097744361
"07","Stromberg, Stadt",9.03,3215,1566,1649,356,"55442",7.773929,49.943679,"07133103",2012,81,7,0.025194401244168
"07","Waldlaubersheim",8.05,779,387,392,97,"55444",7.830566,49.928122,"07133108",2012,11,1,0.0141206675224647
"07","Warmsroth",5.91,448,221,227,76,"55442",7.790007,49.956028,"07133110",2012,7,0,0.015625
"07","Idar-Oberstein, Stadt",91.54,28459,13843,14616,311,"55743",7.312038,49.713416,"07134045",2012,1319,110,0.0463473769282125
"07","Baumholder, Stadt",69.47,4044,1933,2111,58,"55774",7.336808,49.615797,"07134005",2012,154,15,0.0380811078140455
"07","Berglangenbach",5.73,428,211,217,75,"55776",7.253626,49.5995,"07134007",2012,6,0,0.014018691588785
"07","Berschweiler bei Baumholder",6.64,516,261,255,78,"55777",7.292809,49.577998,"07134008",2012,11,0,0.0213178294573643
"07","Eckersweiler",3.69,160,79,81,43,"55777",7.289765,49.560244,"07134021",2012,4,0,0.025
"07","Fohren-Linden",6.6,335,174,161,51,"55777",7.291177,49.587254,"07134026",2012,5,0,0.0149253731343284
"07","Frauenberg",3.86,398,193,205,103,"55776",7.289966,49.67227,"07134027",2012,10,0,0.0251256281407035
"07","Hahnweiler",2.29,201,106,95,88,"55776",7.220944,49.571631,"07134033",2012,3,0,0.0149253731343284
"07","Heimbach",6.78,1061,520,541,156,"55779",7.250355,49.614579,"07134036",2012,35,4,0.0329877474081056
"07","Leitzweiler",3.02,111,66,45,37,"55779",7.221981,49.591229,"07134051",2012,2,1,0.018018018018018
"07","Mettweiler",5.49,255,123,132,46,"55777",7.314179,49.578584,"07134054",2012,6,0,0.0235294117647059
"07","Reichenbach",11.12,563,278,285,51,"55776",7.285437,49.641057,"07134068",2012,13,0,0.0230905861456483
"07","Rohrbach",2.45,207,103,104,84,"55776",7.257328,49.583334,"07134073",2012,5,0,0.0241545893719807
"07","Rückweiler",2.75,395,191,204,144,"55776",7.238173,49.580297,"07134074",2012,10,0,0.0253164556962025
"07","Ruschberg",7.45,803,406,397,108,"55776",7.288343,49.619716,"07134075",2012,18,1,0.0224159402241594
