,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arbeitslose nach Gemeinden
07334, Germersheim,"3,544 ",77 ,438 ,984 ,563 ,620 ,12 ,52 ,97 ,53 ,"1,612 ",41 ,298 ,526 ,344 ,186 ,3 ,26 ,35 ,20 ,"1,932 ",36 ,141 ,457 ,219 ,434 ,9 ,26 ,62 ,32 
07334001, Bellheim,240 ,5 ,30 ,66 ,40 ,18 ,1 ,3 ,3 ,2 ,105 ,3 ,20 ,34 ,23 ,6 ,0 ,1 ,2 ,1 ,134 ,2 ,10 ,32 ,17 ,12 ,1 ,2 ,1 ,1 
07334002, Berg (Pfalz),52 ,1 ,5 ,15 ,8 ,3 ,0 ,0 ,0 ,0 ,27 ,0 ,5 ,9 ,5 ,1 ,0 ,0 ,0 ,0 ,25 ,0 ,0 ,6 ,3 ,2 ,0 ,0 ,0 ,0 
07334004, Erlenbach bei Kandel,12 ,0 ,1 ,6 ,4 ,1 ,0 ,0 ,1 ,1 ,7 ,0 ,1 ,4 ,1 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,2 ,2 ,1 ,0 ,0 ,1 ,1 
07334005, Freckenfeld,24 ,1 ,2 ,6 ,3 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,2 ,4 ,1 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
07334006, Freisbach,28 ,1 ,5 ,5 ,4 ,2 ,0 ,0 ,0 ,0 ,17 ,1 ,5 ,3 ,2 ,2 ,0 ,0 ,0 ,0 ,10 ,0 ,1 ,2 ,2 ,1 ,0 ,0 ,0 ,0 
07334007," Germersheim, Stadt","1,115 ",24 ,136 ,300 ,174 ,314 ,5 ,27 ,47 ,25 ,361 ,9 ,68 ,111 ,75 ,84 ,2 ,13 ,15 ,9 ,754 ,15 ,67 ,189 ,99 ,231 ,4 ,13 ,32 ,16 
07334008," Hagenbach, Stadt",133 ,2 ,16 ,36 ,22 ,17 ,0 ,3 ,2 ,1 ,64 ,2 ,13 ,21 ,15 ,6 ,0 ,2 ,0 ,0 ,69 ,1 ,3 ,15 ,7 ,11 ,0 ,0 ,2 ,1 
07334009, Hatzenbühl,54 ,1 ,8 ,18 ,12 ,7 ,0 ,0 ,3 ,3 ,32 ,1 ,6 ,12 ,7 ,3 ,0 ,0 ,1 ,1 ,22 ,0 ,3 ,7 ,5 ,4 ,0 ,0 ,2 ,2 
07334011, Hördt,62 ,2 ,6 ,23 ,8 ,4 ,0 ,1 ,1 ,0 ,36 ,1 ,4 ,14 ,7 ,1 ,0 ,0 ,1 ,0 ,26 ,0 ,2 ,9 ,1 ,3 ,0 ,1 ,0 ,0 
07334012, Jockgrim,134 ,4 ,19 ,42 ,27 ,17 ,1 ,2 ,2 ,1 ,86 ,2 ,15 ,30 ,20 ,8 ,0 ,1 ,1 ,1 ,48 ,2 ,3 ,12 ,6 ,10 ,1 ,1 ,0 ,0 
07334013," Kandel, Stadt",205 ,3 ,21 ,59 ,33 ,30 ,0 ,2 ,4 ,3 ,94 ,1 ,17 ,30 ,19 ,10 ,0 ,0 ,2 ,1 ,111 ,1 ,4 ,29 ,14 ,20 ,0 ,2 ,2 ,2 
07334014, Knittelsheim,28 ,1 ,3 ,7 ,5 ,2 ,0 ,0 ,0 ,0 ,13 ,0 ,3 ,4 ,4 ,1 ,0 ,0 ,0 ,0 ,15 ,1 ,1 ,3 ,2 ,2 ,0 ,0 ,0 ,0 
07334015, Kuhardt,36 ,1 ,4 ,10 ,5 ,0 ,0 ,0 ,0 ,0 ,21 ,1 ,3 ,6 ,4 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,1 ,4 ,1 ,0 ,0 ,0 ,0 ,0 
07334016, Leimersheim,49 ,3 ,8 ,13 ,8 ,5 ,0 ,0 ,1 ,0 ,28 ,2 ,7 ,8 ,7 ,2 ,0 ,0 ,0 ,0 ,21 ,1 ,2 ,5 ,1 ,3 ,0 ,0 ,0 ,0 
07334017, Lingenfeld,160 ,6 ,28 ,38 ,25 ,20 ,0 ,2 ,3 ,2 ,74 ,3 ,18 ,22 ,16 ,6 ,0 ,0 ,1 ,0 ,86 ,3 ,11 ,16 ,9 ,14 ,0 ,1 ,2 ,2 
07334018, Lustadt,92 ,2 ,12 ,22 ,9 ,25 ,0 ,1 ,5 ,2 ,42 ,2 ,8 ,12 ,5 ,8 ,0 ,1 ,2 ,1 ,50 ,0 ,3 ,10 ,4 ,17 ,0 ,0 ,3 ,1 
07334020, Minfeld,32 ,1 ,5 ,11 ,8 ,2 ,0 ,0 ,1 ,1 ,23 ,1 ,4 ,9 ,7 ,1 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,2 ,1 ,1 ,0 ,0 ,1 ,1 
07334021, Neuburg am Rhein,48 ,1 ,5 ,15 ,10 ,6 ,0 ,1 ,2 ,2 ,28 ,0 ,4 ,11 ,7 ,2 ,0 ,1 ,0 ,0 ,20 ,0 ,1 ,4 ,2 ,4 ,0 ,0 ,2 ,2 
07334022, Neupotz,28 ,0 ,3 ,2 ,2 ,5 ,0 ,0 ,0 ,0 ,14 ,0 ,2 ,2 ,2 ,1 ,0 ,0 ,0 ,0 ,14 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 
07334023, Ottersheim bei Landau,31 ,1 ,4 ,9 ,7 ,1 ,0 ,0 ,0 ,0 ,18 ,0 ,4 ,6 ,4 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,1 ,3 ,2 ,1 ,0 ,0 ,0 ,0 
07334024, Rheinzabern,94 ,2 ,11 ,25 ,10 ,6 ,0 ,0 ,2 ,2 ,51 ,2 ,10 ,15 ,8 ,3 ,0 ,0 ,1 ,1 ,43 ,0 ,2 ,10 ,2 ,3 ,0 ,0 ,1 ,0 
07334025, Rülzheim,224 ,4 ,25 ,66 ,34 ,23 ,0 ,1 ,3 ,1 ,113 ,3 ,18 ,39 ,25 ,8 ,0 ,0 ,2 ,1 ,111 ,1 ,7 ,28 ,9 ,15 ,0 ,0 ,1 ,0 
07334027, Scheibenhardt,13 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07334028, Schwegenheim,61 ,1 ,7 ,20 ,12 ,11 ,0 ,1 ,2 ,1 ,37 ,1 ,6 ,14 ,8 ,5 ,0 ,1 ,1 ,1 ,24 ,0 ,1 ,5 ,3 ,5 ,0 ,0 ,1 ,0 
07334030, Steinweiler,29 ,2 ,7 ,11 ,5 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,4 ,6 ,4 ,0 ,0 ,0 ,0 ,0 ,12 ,1 ,2 ,5 ,1 ,0 ,0 ,0 ,0 ,0 
07334031, Vollmersweiler,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07334032, Weingarten (Pfalz),33 ,1 ,3 ,10 ,8 ,10 ,1 ,2 ,1 ,1 ,22 ,0 ,2 ,10 ,8 ,5 ,0 ,1 ,1 ,1 ,11 ,1 ,1 ,1 ,0 ,5 ,1 ,1 ,0 ,0 
07334033, Westheim (Pfalz),41 ,0 ,7 ,11 ,5 ,2 ,0 ,0 ,0 ,0 ,22 ,0 ,6 ,7 ,4 ,0 ,0 ,0 ,0 ,0 ,18 ,0 ,1 ,4 ,0 ,1 ,0 ,0 ,0 ,0 
07334034, Winden,15 ,0 ,2 ,4 ,2 ,1 ,0 ,0 ,0 ,0 ,9 ,0 ,2 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 
07334036, Zeiskam,63 ,2 ,8 ,16 ,8 ,9 ,0 ,0 ,2 ,1 ,28 ,1 ,6 ,8 ,5 ,2 ,0 ,0 ,0 ,0 ,35 ,1 ,1 ,9 ,3 ,7 ,0 ,0 ,2 ,0 
07334501," Wörth am Rhein, Stadt",409 ,7 ,46 ,115 ,62 ,78 ,2 ,6 ,10 ,4 ,201 ,4 ,34 ,71 ,43 ,22 ,1 ,3 ,2 ,1 ,208 ,3 ,12 ,44 ,19 ,56 ,1 ,4 ,8 ,3 
07335, Kaiserslautern,"3,214 ",89 ,408 ,948 ,570 ,263 ,5 ,17 ,50 ,26 ,"1,370 ",45 ,246 ,516 ,360 ,61 ,1 ,6 ,14 ,6 ,"1,843 ",44 ,162 ,432 ,210 ,202 ,4 ,12 ,36 ,20 
07335002, Bann,43 ,1 ,3 ,13 ,10 ,0 ,0 ,0 ,0 ,0 ,24 ,0 ,2 ,8 ,7 ,0 ,0 ,0 ,0 ,0 ,19 ,0 ,1 ,5 ,3 ,0 ,0 ,0 ,0 ,0 
07335003, Bruchmühlbach-Miesau,266 ,9 ,38 ,82 ,49 ,23 ,0 ,2 ,6 ,4 ,93 ,5 ,22 ,33 ,22 ,4 ,0 ,1 ,1 ,0 ,173 ,4 ,15 ,49 ,27 ,19 ,0 ,1 ,5 ,4 
07335004, Enkenbach-Alsenborn,223 ,6 ,21 ,74 ,44 ,19 ,1 ,3 ,4 ,2 ,96 ,2 ,12 ,37 ,26 ,6 ,0 ,2 ,0 ,0 ,128 ,3 ,9 ,36 ,18 ,13 ,1 ,1 ,3 ,2 
07335005, Erzenhausen,11 ,0 ,1 ,4 ,1 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,1 ,4 ,1 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07335006, Eulenbis,11 ,1 ,3 ,3 ,1 ,1 ,0 ,0 ,0 ,0 ,7 ,0 ,1 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
07335007, Fischbach,30 ,0 ,2 ,12 ,8 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,2 ,7 ,5 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,0 ,5 ,3 ,0 ,0 ,0 ,0 ,0 
07335009, Frankelbach,6 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
07335010, Frankenstein,32 ,0 ,3 ,8 ,5 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,2 ,4 ,4 ,0 ,0 ,0 ,0 ,0 ,23 ,0 ,1 ,4 ,2 ,0 ,0 ,0 ,0 ,0 
07335011, Gerhardsbrunn,2 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
07335012, Hauptstuhl,34 ,0 ,5 ,10 ,6 ,2 ,0 ,0 ,0 ,0 ,18 ,0 ,4 ,6 ,5 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,1 ,4 ,1 ,1 ,0 ,0 ,0 ,0 
07335013, Heiligenmoschel,15 ,1 ,2 ,4 ,4 ,1 ,0 ,0 ,0 ,0 ,10 ,1 ,1 ,4 ,4 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 
07335014, Hirschhorn/ Pfalz,27 ,1 ,5 ,8 ,4 ,2 ,0 ,0 ,0 ,0 ,15 ,1 ,4 ,5 ,3 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,0 ,2 ,1 ,2 ,0 ,0 ,0 ,0 
07335015, Hochspeyer,163 ,5 ,26 ,44 ,23 ,12 ,0 ,1 ,1 ,1 ,62 ,2 ,14 ,23 ,15 ,2 ,0 ,0 ,0 ,0 ,101 ,3 ,12 ,21 ,8 ,9 ,0 ,1 ,1 ,1 
07335016, Hütschenhausen,91 ,2 ,13 ,31 ,20 ,5 ,0 ,0 ,1 ,0 ,47 ,2 ,10 ,22 ,16 ,2 ,0 ,0 ,0 ,0 ,45 ,0 ,3 ,9 ,4 ,3 ,0 ,0 ,1 ,0 
07335017, Katzweiler,53 ,2 ,8 ,13 ,10 ,6 ,0 ,1 ,2 ,1 ,24 ,1 ,4 ,8 ,7 ,1 ,0 ,0 ,0 ,0 ,30 ,1 ,4 ,5 ,3 ,4 ,0 ,1 ,1 ,1 
07335018, Kindsbach,59 ,2 ,11 ,17 ,8 ,7 ,0 ,0 ,0 ,0 ,29 ,1 ,6 ,12 ,7 ,2 ,0 ,0 ,0 ,0 ,30 ,1 ,5 ,5 ,1 ,4 ,0 ,0 ,0 ,0 
07335019, Kollweiler,9 ,0 ,1 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
07335020, Kottweiler-Schwanden,25 ,1 ,4 ,7 ,4 ,1 ,0 ,0 ,0 ,0 ,10 ,0 ,3 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,0 ,5 ,3 ,1 ,0 ,0 ,0 ,0 
07335021, Krickenbach,22 ,1 ,3 ,7 ,5 ,0 ,0 ,0 ,0 ,0 ,15 ,1 ,2 ,6 ,5 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07335022," Landstuhl, Sickingenstadt, St.",344 ,10 ,50 ,85 ,48 ,54 ,1 ,3 ,9 ,4 ,108 ,3 ,24 ,36 ,27 ,8 ,0 ,1 ,2 ,0 ,235 ,6 ,27 ,48 ,20 ,46 ,1 ,2 ,8 ,4 
07335023, Linden,38 ,1 ,4 ,13 ,9 ,3 ,0 ,0 ,0 ,0 ,18 ,1 ,4 ,11 ,7 ,1 ,0 ,0 ,0 ,0 ,19 ,0 ,0 ,3 ,2 ,2 ,0 ,0 ,0 ,0 
07335024, Mackenbach,67 ,2 ,8 ,25 ,16 ,3 ,0 ,0 ,0 ,0 ,28 ,1 ,4 ,16 ,13 ,1 ,0 ,0 ,0 ,0 ,40 ,1 ,4 ,8 ,3 ,2 ,0 ,0 ,0 ,0 
07335025, Mehlbach,30 ,0 ,3 ,8 ,4 ,1 ,0 ,0 ,0 ,0 ,17 ,0 ,2 ,4 ,2 ,1 ,0 ,0 ,0 ,0 ,13 ,0 ,1 ,4 ,3 ,0 ,0 ,0 ,0 ,0 
07335026, Mehlingen,113 ,2 ,14 ,32 ,19 ,11 ,0 ,1 ,2 ,2 ,52 ,2 ,9 ,16 ,11 ,4 ,0 ,0 ,1 ,0 ,61 ,0 ,5 ,16 ,8 ,7 ,0 ,0 ,2 ,2 
07335027, Mittelbrunn,11 ,0 ,1 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
07335028, Neuhemsbach,27 ,1 ,3 ,11 ,9 ,1 ,0 ,0 ,0 ,0 ,16 ,0 ,2 ,7 ,5 ,1 ,0 ,0 ,0 ,0 ,11 ,0 ,1 ,4 ,4 ,0 ,0 ,0 ,0 ,0 
07335029, Niederkirchen,72 ,2 ,11 ,20 ,12 ,1 ,0 ,0 ,0 ,0 ,24 ,1 ,5 ,8 ,6 ,0 ,0 ,0 ,0 ,0 ,48 ,1 ,6 ,13 ,6 ,0 ,0 ,0 ,0 ,0 
07335030, Niedermohr,36 ,1 ,4 ,10 ,6 ,2 ,0 ,0 ,0 ,0 ,19 ,1 ,3 ,5 ,4 ,1 ,0 ,0 ,0 ,0 ,17 ,0 ,0 ,5 ,2 ,1 ,0 ,0 ,0 ,0 
07335031, Oberarnbach,5 ,0 ,1 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07335033, Olsbrücken,27 ,1 ,4 ,9 ,6 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,2 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,13 ,1 ,2 ,5 ,3 ,0 ,0 ,0 ,0 ,0 
07335034, Otterbach,98 ,3 ,10 ,30 ,15 ,8 ,0 ,0 ,2 ,0 ,39 ,2 ,7 ,15 ,9 ,1 ,0 ,0 ,1 ,0 ,58 ,1 ,4 ,14 ,6 ,6 ,0 ,0 ,1 ,0 
07335035," Otterberg, Stadt",200 ,6 ,18 ,59 ,39 ,14 ,0 ,0 ,2 ,1 ,69 ,3 ,9 ,27 ,20 ,3 ,0 ,0 ,1 ,0 ,132 ,3 ,8 ,32 ,19 ,11 ,0 ,0 ,1 ,1 
07335037, Queidersbach,71 ,1 ,10 ,20 ,16 ,3 ,0 ,0 ,0 ,0 ,39 ,1 ,7 ,12 ,10 ,1 ,0 ,0 ,0 ,0 ,33 ,0 ,3 ,7 ,6 ,2 ,0 ,0 ,0 ,0 
07335038," Ramstein-Miesenbach, Stadt",300 ,9 ,40 ,80 ,42 ,47 ,1 ,4 ,10 ,5 ,102 ,3 ,22 ,33 ,22 ,7 ,0 ,0 ,3 ,2 ,197 ,5 ,18 ,46 ,20 ,40 ,1 ,3 ,6 ,3 
07335040, Rodenbach,83 ,3 ,9 ,28 ,16 ,3 ,0 ,0 ,1 ,0 ,43 ,1 ,6 ,20 ,13 ,0 ,0 ,0 ,0 ,0 ,39 ,1 ,3 ,8 ,3 ,3 ,0 ,0 ,0 ,0 
07335041, Schallodenbach,28 ,0 ,2 ,6 ,4 ,2 ,0 ,0 ,0 ,0 ,12 ,0 ,2 ,3 ,3 ,1 ,0 ,0 ,0 ,0 ,16 ,0 ,0 ,3 ,1 ,1 ,0 ,0 ,0 ,0 
07335042, Schneckenhausen,20 ,0 ,2 ,6 ,5 ,1 ,0 ,0 ,0 ,0 ,9 ,0 ,2 ,2 ,2 ,1 ,0 ,0 ,0 ,0 ,11 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 
07335043, Schwedelbach,20 ,1 ,2 ,5 ,3 ,2 ,0 ,0 ,1 ,0 ,8 ,0 ,1 ,2 ,2 ,1 ,0 ,0 ,0 ,0 ,13 ,1 ,2 ,3 ,1 ,1 ,0 ,0 ,1 ,0 
07335044, Steinwenden,60 ,2 ,8 ,18 ,11 ,3 ,0 ,0 ,0 ,0 ,28 ,1 ,6 ,10 ,8 ,1 ,0 ,0 ,0 ,0 ,33 ,1 ,2 ,8 ,3 ,2 ,0 ,0 ,0 ,0 
07335045, Stelzenberg,35 ,0 ,4 ,14 ,8 ,1 ,0 ,0 ,1 ,0 ,18 ,0 ,2 ,9 ,8 ,0 ,0 ,0 ,0 ,0 ,17 ,0 ,2 ,4 ,0 ,1 ,0 ,0 ,1 ,0 
07335046, Sulzbachtal,17 ,0 ,5 ,6 ,2 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,4 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
07335047, Trippstadt,80 ,1 ,6 ,24 ,18 ,7 ,0 ,0 ,1 ,0 ,43 ,0 ,3 ,18 ,15 ,2 ,0 ,0 ,0 ,0 ,37 ,1 ,3 ,7 ,3 ,4 ,0 ,0 ,1 ,0 
07335048, Waldleiningen,10 ,0 ,1 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
07335049, Weilerbach,117 ,6 ,18 ,29 ,18 ,10 ,0 ,1 ,2 ,1 ,55 ,2 ,10 ,18 ,11 ,4 ,0 ,0 ,1 ,1 ,62 ,4 ,8 ,11 ,7 ,6 ,0 ,0 ,0 ,0 
07335201, Lambsborn,16 ,0 ,4 ,7 ,4 ,1 ,0 ,0 ,0 ,0 ,15 ,0 ,3 ,7 ,4 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
07335202, Langwieden,6 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07335203, Martinshöhe,31 ,0 ,2 ,13 ,9 ,2 ,0 ,0 ,2 ,2 ,18 ,0 ,1 ,9 ,8 ,1 ,0 ,0 ,1 ,1 ,13 ,0 ,1 ,4 ,2 ,1 ,0 ,0 ,1 ,1 
07335204, Schopp,44 ,3 ,6 ,15 ,8 ,3 ,0 ,0 ,0 ,0 ,20 ,1 ,3 ,8 ,6 ,1 ,0 ,0 ,0 ,0 ,24 ,1 ,3 ,7 ,2 ,2 ,0 ,0 ,0 ,0 
07335205, Sembach,38 ,1 ,4 ,15 ,8 ,0 ,0 ,0 ,0 ,0 ,20 ,1 ,2 ,10 ,4 ,0 ,0 ,0 ,0 ,0 ,19 ,1 ,1 ,4 ,4 ,0 ,0 ,0 ,0 ,0 
07335501, Reichenbach-Steegen,45 ,1 ,5 ,10 ,6 ,3 ,0 ,0 ,1 ,0 ,22 ,0 ,4 ,6 ,4 ,0 ,0 ,0 ,0 ,0 ,23 ,0 ,1 ,4 ,2 ,3 ,0 ,0 ,1 ,0 
07336, Kusel,"2,260 ",45 ,273 ,709 ,426 ,104 ,1 ,6 ,16 ,7 ,"1,031 ",25 ,188 ,437 ,326 ,28 ,0 ,4 ,6 ,3 ,"1,228 ",20 ,85 ,272 ,101 ,76 ,0 ,3 ,10 ,4 
07336001, Adenbach,9 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
07336002, Albessen,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07336003, Altenglan,85 ,1 ,7 ,31 ,23 ,2 ,0 ,0 ,0 ,0 ,49 ,1 ,6 ,22 ,18 ,1 ,0 ,0 ,0 ,0 ,36 ,0 ,1 ,8 ,4 ,1 ,0 ,0 ,0 ,0 
07336004, Altenkirchen,35 ,0 ,4 ,15 ,10 ,2 ,0 ,1 ,0 ,0 ,20 ,0 ,3 ,10 ,9 ,1 ,0 ,1 ,0 ,0 ,16 ,0 ,1 ,5 ,1 ,1 ,0 ,0 ,0 ,0 
07336005, Aschbach,18 ,0 ,2 ,8 ,3 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,2 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,0 ,6 ,2 ,0 ,0 ,0 ,0 ,0 
07336006, Blaubach,14 ,0 ,0 ,6 ,6 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,0 ,6 ,5 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07336008, Börsborn,10 ,0 ,2 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
07336009, Bosenbach,22 ,0 ,2 ,6 ,3 ,2 ,0 ,0 ,0 ,0 ,9 ,0 ,1 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,1 ,2 ,1 ,2 ,0 ,0 ,0 ,0 
07336010, Breitenbach,60 ,0 ,7 ,19 ,14 ,4 ,0 ,0 ,0 ,0 ,25 ,0 ,5 ,12 ,11 ,0 ,0 ,0 ,0 ,0 ,35 ,0 ,2 ,6 ,3 ,4 ,0 ,0 ,0 ,0 
07336011, Brücken (Pfalz),58 ,0 ,6 ,21 ,12 ,2 ,0 ,0 ,0 ,0 ,30 ,0 ,5 ,13 ,9 ,0 ,0 ,0 ,0 ,0 ,28 ,0 ,1 ,8 ,2 ,2 ,0 ,0 ,0 ,0 
07336012, Buborn,6 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07336013, Cronenberg,5 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
07336014, Deimberg,2 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
07336015, Dennweiler-Frohnbach,9 ,0 ,1 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07336016, Dittweiler,27 ,0 ,4 ,9 ,4 ,2 ,0 ,0 ,0 ,0 ,12 ,0 ,2 ,6 ,4 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,2 ,3 ,0 ,2 ,0 ,0 ,0 ,0 
07336017, Dunzweiler,29 ,0 ,4 ,13 ,8 ,1 ,0 ,0 ,0 ,0 ,19 ,0 ,2 ,11 ,7 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,1 ,2 ,1 ,1 ,0 ,0 ,0 ,0 
07336018, Ehweiler,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07336019, Einöllen,12 ,0 ,2 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,2 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
07336021, Elzweiler,4 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07336022, Erdesbach,18 ,0 ,1 ,6 ,3 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
07336023, Eßweiler,17 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
07336024, Etschberg,19 ,0 ,1 ,11 ,7 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,1 ,10 ,6 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
