,Bundesland,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 1)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 6)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 11)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 16)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 21)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 26)",,,
,"Regierungsbezirk
Kreis",,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre
Schlüssel,Gemeinde,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 
05970004," Bad Berleburg, Stadt",525 ,7 ,53 ,240 ,159 ,44 ,0 ,4 ,20 ,10 ,258 ,3 ,34 ,126 ,98 ,19 ,0 ,2 ,5 ,2 ,267 ,4 ,19 ,114 ,62 ,25 ,0 ,2 ,15 ,8 
05970008, Burbach,304 ,7 ,48 ,104 ,70 ,43 ,1 ,8 ,6 ,4 ,161 ,3 ,35 ,60 ,43 ,16 ,0 ,7 ,2 ,1 ,143 ,5 ,13 ,44 ,27 ,27 ,1 ,2 ,4 ,3 
05970012, Erndtebrück,156 ,1 ,17 ,62 ,36 ,18 ,0 ,2 ,5 ,1 ,58 ,1 ,9 ,23 ,16 ,3 ,0 ,0 ,1 ,0 ,98 ,1 ,8 ,39 ,19 ,15 ,0 ,2 ,4 ,1 
05970016," Freudenberg, Stadt",365 ,10 ,52 ,114 ,74 ,17 ,0 ,1 ,3 ,2 ,184 ,4 ,36 ,60 ,39 ,7 ,0 ,1 ,2 ,1 ,181 ,5 ,16 ,54 ,35 ,10 ,0 ,0 ,1 ,0 
05970020," Hilchenbach, Stadt",416 ,7 ,33 ,162 ,102 ,43 ,1 ,5 ,15 ,10 ,161 ,4 ,21 ,71 ,51 ,15 ,1 ,3 ,6 ,4 ,255 ,3 ,12 ,91 ,50 ,28 ,1 ,2 ,9 ,6 
05970024," Kreuztal, Stadt","1,119 ",23 ,129 ,346 ,220 ,247 ,6 ,28 ,53 ,24 ,323 ,5 ,60 ,115 ,88 ,41 ,1 ,8 ,8 ,5 ,796 ,17 ,70 ,232 ,132 ,206 ,5 ,20 ,45 ,20 
05970028," Bad Laasphe, Stadt",288 ,4 ,33 ,121 ,81 ,27 ,1 ,4 ,7 ,3 ,135 ,2 ,19 ,58 ,44 ,10 ,0 ,2 ,5 ,3 ,153 ,2 ,14 ,63 ,37 ,17 ,0 ,2 ,2 ,0 
05970032," Netphen, Stadt",506 ,9 ,61 ,190 ,121 ,64 ,1 ,9 ,18 ,11 ,243 ,4 ,40 ,97 ,70 ,22 ,0 ,5 ,5 ,3 ,263 ,6 ,21 ,92 ,52 ,43 ,1 ,3 ,13 ,9 
05970036, Neunkirchen,329 ,10 ,50 ,92 ,60 ,71 ,4 ,12 ,11 ,5 ,146 ,4 ,28 ,53 ,38 ,22 ,1 ,6 ,4 ,2 ,183 ,6 ,22 ,39 ,22 ,49 ,3 ,6 ,7 ,3 
05970040," Siegen, Universitätsstadt","4,301 ",95 ,561 ,"1,205 ",722 ,848 ,18 ,84 ,167 ,92 ,"1,161 ",25 ,205 ,377 ,257 ,159 ,2 ,20 ,32 ,22 ,"3,140 ",70 ,356 ,828 ,464 ,688 ,16 ,64 ,136 ,69 
05970044, Wilnsdorf,369 ,11 ,58 ,119 ,76 ,35 ,1 ,5 ,5 ,4 ,195 ,5 ,39 ,61 ,41 ,12 ,0 ,2 ,2 ,1 ,174 ,6 ,19 ,58 ,35 ,23 ,1 ,3 ,4 ,3 
05974, Soest,"10,355 ",134 ,967 ,"3,408 ","2,075 ","1,504 ",17 ,107 ,366 ,200 ,"3,696 ",31 ,464 ,"1,378 ",959 ,338 ,2 ,42 ,82 ,57 ,"6,660 ",102 ,503 ,"2,030 ","1,116 ","1,166 ",15 ,65 ,283 ,143 
05974004, Anröchte,279 ,3 ,29 ,102 ,72 ,21 ,0 ,3 ,6 ,2 ,133 ,2 ,21 ,44 ,34 ,6 ,0 ,1 ,1 ,1 ,146 ,1 ,8 ,58 ,39 ,15 ,0 ,2 ,4 ,1 
05974008, Bad Sassendorf,328 ,3 ,33 ,108 ,62 ,41 ,1 ,5 ,9 ,2 ,126 ,1 ,17 ,47 ,30 ,6 ,0 ,0 ,2 ,1 ,202 ,2 ,16 ,61 ,32 ,35 ,1 ,4 ,6 ,1 
05974012, Ense,254 ,5 ,31 ,90 ,55 ,14 ,0 ,2 ,2 ,2 ,125 ,2 ,20 ,48 ,34 ,6 ,0 ,0 ,2 ,2 ,128 ,3 ,10 ,42 ,21 ,8 ,0 ,2 ,0 ,0 
05974016," Erwitte, Stadt",383 ,3 ,30 ,145 ,91 ,34 ,0 ,4 ,6 ,4 ,192 ,0 ,20 ,78 ,49 ,12 ,0 ,2 ,4 ,2 ,190 ,3 ,10 ,67 ,42 ,22 ,0 ,1 ,3 ,2 
05974020," Geseke, Stadt",698 ,7 ,57 ,240 ,141 ,78 ,1 ,5 ,19 ,11 ,253 ,3 ,38 ,87 ,56 ,17 ,0 ,3 ,3 ,2 ,445 ,4 ,19 ,152 ,85 ,61 ,0 ,2 ,16 ,8 
05974024, Lippetal,256 ,2 ,27 ,81 ,54 ,17 ,0 ,1 ,4 ,2 ,123 ,0 ,16 ,45 ,33 ,6 ,0 ,1 ,2 ,1 ,133 ,2 ,11 ,36 ,20 ,12 ,0 ,1 ,2 ,0 
05974028," Lippstadt, Stadt","2,714 ",25 ,238 ,902 ,551 ,538 ,3 ,35 ,148 ,85 ,899 ,7 ,117 ,306 ,214 ,135 ,1 ,18 ,30 ,19 ,"1,815 ",17 ,121 ,596 ,337 ,404 ,2 ,17 ,118 ,66 
05974032, Möhnesee,284 ,2 ,21 ,104 ,63 ,18 ,0 ,2 ,3 ,2 ,143 ,1 ,9 ,64 ,42 ,5 ,0 ,0 ,2 ,2 ,141 ,2 ,12 ,41 ,21 ,13 ,0 ,2 ,1 ,1 
05974036," Rüthen, Stadt",295 ,4 ,26 ,112 ,75 ,22 ,1 ,2 ,6 ,5 ,143 ,1 ,16 ,71 ,56 ,5 ,0 ,1 ,2 ,2 ,152 ,2 ,10 ,41 ,20 ,17 ,1 ,2 ,4 ,3 
05974040," Soest, Stadt","2,128 ",32 ,205 ,655 ,389 ,281 ,5 ,19 ,60 ,39 ,638 ,5 ,80 ,236 ,156 ,58 ,1 ,5 ,15 ,11 ,"1,490 ",27 ,125 ,419 ,232 ,223 ,4 ,14 ,46 ,28 
05974044," Warstein, Stadt",757 ,9 ,69 ,242 ,153 ,79 ,0 ,3 ,9 ,7 ,347 ,4 ,40 ,146 ,100 ,23 ,0 ,2 ,4 ,3 ,410 ,5 ,29 ,97 ,53 ,56 ,0 ,1 ,5 ,3 
05974048, Welver,272 ,3 ,21 ,89 ,61 ,12 ,0 ,0 ,3 ,2 ,134 ,2 ,15 ,53 ,41 ,3 ,0 ,0 ,2 ,2 ,137 ,1 ,6 ,36 ,20 ,9 ,0 ,0 ,1 ,0 
05974052," Werl, Stadt","1,343 ",31 ,147 ,406 ,224 ,291 ,5 ,23 ,73 ,28 ,318 ,3 ,42 ,106 ,77 ,43 ,0 ,6 ,9 ,5 ,"1,025 ",28 ,106 ,300 ,147 ,248 ,5 ,16 ,63 ,22 
05974056, Wickede (Ruhr),364 ,5 ,33 ,132 ,84 ,58 ,1 ,4 ,18 ,9 ,120 ,1 ,13 ,48 ,36 ,13 ,0 ,2 ,4 ,4 ,244 ,4 ,20 ,83 ,48 ,45 ,1 ,2 ,13 ,5 
05978, Unna,"19,835 ",263 ,"1,728 ","5,938 ","3,489 ","3,451 ",48 ,262 ,590 ,303 ,"4,782 ",49 ,680 ,"1,802 ","1,260 ",478 ,6 ,82 ,84 ,50 ,"15,054 ",214 ,"1,048 ","4,136 ","2,229 ","2,973 ",42 ,181 ,505 ,253 
05978004," Bergkamen, Stadt","2,906 ",52 ,300 ,752 ,423 ,569 ,12 ,58 ,68 ,31 ,614 ,9 ,106 ,210 ,134 ,75 ,2 ,20 ,11 ,5 ,"2,292 ",43 ,194 ,542 ,289 ,495 ,10 ,38 ,57 ,26 
05978008, Bönen,830 ,10 ,78 ,251 ,155 ,201 ,4 ,23 ,19 ,7 ,208 ,1 ,31 ,76 ,55 ,29 ,0 ,8 ,2 ,1 ,622 ,9 ,47 ,175 ,100 ,172 ,3 ,15 ,17 ,6 
05978012," Fröndenberg/Ruhr, Stadt",720 ,9 ,59 ,239 ,143 ,99 ,1 ,4 ,18 ,9 ,228 ,2 ,21 ,99 ,68 ,15 ,0 ,0 ,5 ,3 ,492 ,7 ,38 ,140 ,76 ,84 ,1 ,4 ,12 ,6 
05978016, Holzwickede,624 ,5 ,58 ,197 ,130 ,116 ,1 ,8 ,33 ,18 ,193 ,1 ,22 ,80 ,57 ,22 ,0 ,1 ,8 ,5 ,430 ,4 ,35 ,117 ,72 ,94 ,1 ,6 ,24 ,13 
05978020," Kamen, Stadt","2,297 ",34 ,207 ,681 ,373 ,365 ,4 ,27 ,77 ,34 ,524 ,5 ,69 ,198 ,138 ,46 ,0 ,7 ,7 ,4 ,"1,773 ",29 ,138 ,482 ,234 ,319 ,4 ,21 ,70 ,30 
05978024," Lünen, Stadt","5,586 ",72 ,490 ,"1,581 ",888 ,"1,124 ",16 ,86 ,156 ,80 ,"1,134 ",13 ,183 ,393 ,260 ,156 ,2 ,28 ,22 ,14 ,"4,451 ",59 ,307 ,"1,188 ",628 ,968 ,14 ,58 ,133 ,66 
05978028," Schwerte, Hansest. an der Ruhr","1,960 ",18 ,136 ,610 ,371 ,334 ,1 ,13 ,73 ,35 ,548 ,6 ,72 ,220 ,165 ,51 ,0 ,6 ,12 ,9 ,"1,412 ",13 ,64 ,390 ,206 ,284 ,1 ,7 ,60 ,27 
05978032," Selm, Stadt","1,252 ",15 ,100 ,381 ,213 ,114 ,2 ,8 ,20 ,11 ,321 ,4 ,46 ,127 ,84 ,13 ,0 ,2 ,2 ,1 ,930 ,11 ,54 ,254 ,129 ,101 ,2 ,6 ,18 ,10 
05978036," Unna, Stadt","2,578 ",32 ,206 ,901 ,577 ,405 ,5 ,25 ,106 ,66 ,661 ,6 ,82 ,261 ,202 ,53 ,0 ,6 ,10 ,6 ,"1,917 ",26 ,124 ,640 ,375 ,351 ,5 ,19 ,96 ,59 
05978040," Werne, Stadt","1,082 ",17 ,94 ,346 ,216 ,124 ,1 ,11 ,21 ,11 ,349 ,4 ,48 ,138 ,97 ,18 ,0 ,4 ,4 ,2 ,733 ,13 ,46 ,208 ,120 ,106 ,1 ,7 ,18 ,9 
06, Hessen,"185,607 ","3,359 ","18,251 ","56,660 ","34,327 ","49,202 ",834 ,"3,969 ","11,388 ","6,304 ","64,341 ",965 ,"8,554 ","22,316 ","15,283 ","10,856 ",128 ,"1,333 ","2,450 ","1,540 ","121,266 ","2,394 ","9,697 ","34,344 ","19,045 ","38,346 ",707 ,"2,637 ","8,938 ","4,764 "
064, Reg.-Bez. Darmstadt,"117,455 ","2,032 ","10,633 ","34,736 ","20,807 ","38,160 ",635 ,"2,969 ","8,745 ","4,780 ","40,369 ",551 ,"4,913 ","13,698 ","9,397 ","8,676 ",100 ,"1,023 ","2,004 ","1,272 ","77,085 ","1,481 ","5,720 ","21,038 ","11,410 ","29,485 ",535 ,"1,946 ","6,741 ","3,508 "
06411000," Darmstadt, Wissenschaftsstadt","5,072 ",104 ,483 ,"1,300 ",755 ,"1,634 ",32 ,137 ,320 ,168 ,"1,244 ",12 ,130 ,346 ,220 ,252 ,2 ,27 ,55 ,31 ,"3,828 ",91 ,353 ,955 ,535 ,"1,382 ",30 ,110 ,265 ,136 
06412000," Frankfurt am Main, Stadt","26,233 ",378 ,"1,950 ","7,364 ","4,412 ","10,819 ",144 ,720 ,"2,489 ","1,400 ","7,460 ",73 ,669 ,"2,102 ","1,394 ","2,383 ",25 ,212 ,533 ,343 ,"18,773 ",306 ,"1,281 ","5,262 ","3,018 ","8,436 ",119 ,508 ,"1,956 ","1,058 "
06413000," Offenbach am Main, Stadt","6,899 ",103 ,530 ,"1,918 ","1,113 ","3,407 ",52 ,234 ,769 ,400 ,"1,885 ",31 ,258 ,608 ,402 ,753 ,13 ,102 ,174 ,103 ,"5,014 ",72 ,272 ,"1,311 ",712 ,"2,654 ",39 ,131 ,595 ,296 
06414000," Wiesbaden, Landeshauptstadt","10,773 ",257 ,"1,198 ","2,656 ","1,532 ","3,343 ",82 ,322 ,689 ,376 ,"2,821 ",48 ,418 ,819 ,564 ,625 ,9 ,80 ,142 ,88 ,"7,952 ",210 ,780 ,"1,838 ",968 ,"2,718 ",73 ,243 ,547 ,288 
06431, Bergstraße,"6,250 ",39 ,364 ,"2,042 ","1,161 ","1,397 ",5 ,56 ,341 ,164 ,"2,382 ",30 ,313 ,862 ,588 ,332 ,2 ,41 ,76 ,43 ,"3,868 ",9 ,51 ,"1,179 ",573 ,"1,066 ",2 ,14 ,265 ,120 
06431001, Abtsteinach,45 ,0 ,2 ,18 ,10 ,9 ,0 ,0 ,2 ,1 ,17 ,0 ,2 ,6 ,3 ,1 ,0 ,0 ,0 ,0 ,28 ,0 ,0 ,12 ,6 ,8 ,0 ,0 ,2 ,1 
06431002," Bensheim, Stadt",984 ,6 ,58 ,308 ,175 ,248 ,1 ,13 ,53 ,24 ,363 ,3 ,42 ,125 ,85 ,54 ,0 ,8 ,9 ,4 ,621 ,3 ,16 ,183 ,90 ,193 ,1 ,5 ,44 ,20 
06431003, Biblis,207 ,2 ,11 ,75 ,44 ,26 ,0 ,1 ,5 ,4 ,84 ,1 ,9 ,32 ,23 ,9 ,0 ,1 ,1 ,0 ,123 ,1 ,2 ,43 ,21 ,17 ,0 ,0 ,4 ,4 
06431004, Birkenau,148 ,1 ,9 ,47 ,26 ,28 ,0 ,1 ,5 ,3 ,73 ,1 ,8 ,27 ,18 ,7 ,0 ,1 ,1 ,0 ,76 ,0 ,1 ,21 ,8 ,22 ,0 ,0 ,4 ,3 
06431005," Bürstadt, Stadt",410 ,2 ,26 ,145 ,83 ,87 ,0 ,6 ,28 ,16 ,161 ,2 ,24 ,65 ,45 ,22 ,0 ,6 ,6 ,4 ,249 ,0 ,2 ,80 ,38 ,65 ,0 ,0 ,22 ,12 
06431006, Einhausen,87 ,0 ,7 ,31 ,16 ,8 ,0 ,1 ,3 ,1 ,58 ,0 ,6 ,24 ,15 ,4 ,0 ,1 ,1 ,1 ,29 ,0 ,1 ,7 ,1 ,4 ,0 ,0 ,2 ,0 
06431007, Fürth,215 ,2 ,14 ,54 ,32 ,37 ,0 ,2 ,4 ,2 ,83 ,2 ,13 ,26 ,18 ,13 ,0 ,2 ,3 ,2 ,132 ,0 ,1 ,28 ,14 ,25 ,0 ,0 ,1 ,0 
06431008, Gorxheimertal,58 ,0 ,6 ,17 ,10 ,8 ,0 ,0 ,2 ,1 ,28 ,0 ,5 ,10 ,8 ,3 ,0 ,0 ,1 ,1 ,30 ,0 ,0 ,7 ,2 ,5 ,0 ,0 ,1 ,0 
06431009, Grasellenbach,75 ,0 ,8 ,23 ,18 ,10 ,0 ,1 ,2 ,2 ,35 ,0 ,6 ,12 ,9 ,7 ,0 ,0 ,1 ,1 ,40 ,0 ,2 ,11 ,9 ,4 ,0 ,0 ,0 ,0 
06431010, Groß-Rohrheim,94 ,0 ,5 ,37 ,23 ,17 ,0 ,0 ,5 ,4 ,43 ,0 ,5 ,19 ,12 ,6 ,0 ,0 ,1 ,0 ,51 ,0 ,0 ,18 ,11 ,11 ,0 ,0 ,4 ,4 
06431011," Heppenheim (Bergstraße), K.st.",714 ,4 ,35 ,211 ,114 ,194 ,0 ,8 ,41 ,18 ,234 ,3 ,28 ,79 ,57 ,38 ,0 ,5 ,7 ,4 ,480 ,1 ,7 ,132 ,57 ,156 ,0 ,3 ,34 ,14 
06431012," Hirschhorn (Neckar), Stadt",79 ,2 ,6 ,23 ,14 ,16 ,0 ,0 ,6 ,4 ,36 ,2 ,5 ,14 ,10 ,6 ,0 ,0 ,4 ,3 ,43 ,0 ,1 ,9 ,4 ,10 ,0 ,0 ,2 ,1 
06431013," Lampertheim, Stadt",893 ,5 ,49 ,330 ,179 ,180 ,0 ,3 ,63 ,26 ,307 ,5 ,43 ,104 ,73 ,35 ,0 ,2 ,9 ,4 ,586 ,1 ,6 ,225 ,106 ,145 ,0 ,1 ,53 ,22 
06431014, Lautertal (Odenwald),102 ,2 ,9 ,36 ,22 ,17 ,0 ,2 ,5 ,2 ,51 ,2 ,6 ,23 ,15 ,6 ,0 ,0 ,2 ,1 ,51 ,0 ,3 ,13 ,7 ,11 ,0 ,2 ,3 ,1 
06431015," Lindenfels, Stadt",93 ,1 ,5 ,34 ,18 ,9 ,0 ,0 ,3 ,2 ,36 ,1 ,4 ,15 ,8 ,4 ,0 ,0 ,1 ,1 ,56 ,0 ,0 ,19 ,10 ,5 ,0 ,0 ,1 ,1 
06431016," Lorsch, Karolingerstadt",237 ,1 ,17 ,79 ,46 ,34 ,0 ,1 ,8 ,5 ,118 ,1 ,15 ,46 ,31 ,10 ,0 ,1 ,3 ,2 ,120 ,1 ,2 ,34 ,14 ,25 ,0 ,0 ,6 ,2 
06431017, Mörlenbach,215 ,1 ,13 ,65 ,39 ,50 ,0 ,1 ,10 ,6 ,90 ,1 ,13 ,29 ,19 ,12 ,0 ,1 ,2 ,1 ,125 ,0 ,0 ,36 ,20 ,37 ,0 ,0 ,8 ,4 
06431018," Neckarsteinach, Stadt",65 ,1 ,7 ,24 ,13 ,13 ,0 ,1 ,5 ,2 ,40 ,1 ,7 ,12 ,6 ,6 ,0 ,1 ,1 ,1 ,25 ,0 ,0 ,12 ,7 ,6 ,0 ,0 ,4 ,1 
06431019, Rimbach,154 ,1 ,15 ,53 ,28 ,26 ,1 ,2 ,5 ,2 ,57 ,1 ,14 ,20 ,11 ,7 ,0 ,2 ,2 ,0 ,97 ,0 ,1 ,34 ,18 ,20 ,0 ,0 ,3 ,2 
06431020," Viernheim, Stadt","1,027 ",3 ,39 ,309 ,178 ,328 ,0 ,7 ,76 ,34 ,304 ,2 ,35 ,106 ,71 ,63 ,0 ,6 ,16 ,8 ,723 ,1 ,4 ,203 ,107 ,265 ,0 ,1 ,60 ,26 
06431021, Wald-Michelbach,232 ,2 ,18 ,75 ,44 ,40 ,0 ,4 ,7 ,4 ,93 ,2 ,16 ,38 ,27 ,11 ,0 ,3 ,3 ,3 ,138 ,0 ,2 ,37 ,17 ,28 ,0 ,1 ,4 ,1 
06431022," Zwingenberg, Stadt",116 ,1 ,6 ,49 ,30 ,11 ,0 ,1 ,4 ,2 ,70 ,0 ,5 ,32 ,23 ,7 ,0 ,0 ,1 ,1 ,46 ,0 ,1 ,17 ,6 ,4 ,0 ,0 ,2 ,1 
06432, Darmstadt-Dieburg,"7,652 ",150 ,786 ,"2,464 ","1,524 ","1,844 ",38 ,160 ,484 ,273 ,"2,681 ",39 ,355 ,971 ,670 ,432 ,5 ,55 ,111 ,70 ,"4,971 ",112 ,432 ,"1,493 ",853 ,"1,412 ",33 ,104 ,373 ,203 
06432001, Alsbach-Hähnlein,164 ,2 ,14 ,60 ,40 ,35 ,0 ,1 ,10 ,7 ,67 ,0 ,7 ,25 ,18 ,7 ,0 ,0 ,1 ,1 ,97 ,2 ,7 ,35 ,22 ,28 ,0 ,1 ,9 ,6 
06432002," Babenhausen, Stadt",485 ,12 ,52 ,148 ,84 ,128 ,3 ,14 ,36 ,18 ,183 ,3 ,26 ,65 ,42 ,36 ,1 ,6 ,11 ,6 ,302 ,9 ,26 ,83 ,42 ,92 ,2 ,9 ,24 ,12 
06432003, Bickenbach,93 ,1 ,5 ,33 ,24 ,12 ,0 ,1 ,4 ,4 ,41 ,0 ,3 ,13 ,7 ,4 ,0 ,1 ,1 ,0 ,52 ,1 ,2 ,21 ,17 ,9 ,0 ,0 ,4 ,4 
06432004," Dieburg, Stadt",443 ,13 ,52 ,138 ,88 ,118 ,5 ,13 ,27 ,13 ,123 ,3 ,23 ,40 ,27 ,18 ,0 ,4 ,3 ,1 ,320 ,10 ,30 ,98 ,60 ,100 ,5 ,10 ,24 ,12 
06432005, Eppertshausen,178 ,4 ,18 ,69 ,42 ,52 ,2 ,5 ,15 ,10 ,58 ,1 ,6 ,24 ,19 ,6 ,0 ,2 ,2 ,1 ,120 ,3 ,11 ,45 ,23 ,46 ,2 ,4 ,13 ,9 
06432006, Erzhausen,180 ,2 ,15 ,53 ,37 ,30 ,1 ,4 ,7 ,5 ,76 ,0 ,5 ,32 ,25 ,10 ,0 ,1 ,3 ,3 ,105 ,2 ,10 ,21 ,12 ,19 ,1 ,3 ,4 ,2 
06432007, Fischbachtal,62 ,2 ,8 ,23 ,12 ,8 ,0 ,1 ,3 ,1 ,19 ,1 ,4 ,7 ,5 ,3 ,0 ,1 ,1 ,1 ,43 ,2 ,5 ,16 ,8 ,5 ,0 ,0 ,2 ,0 
06432008," Griesheim, Stadt",695 ,12 ,65 ,226 ,145 ,209 ,4 ,18 ,47 ,28 ,266 ,3 ,31 ,100 ,66 ,57 ,0 ,8 ,14 ,10 ,429 ,9 ,34 ,127 ,79 ,152 ,4 ,10 ,33 ,18 
06432009," Groß-Bieberau, Stadt",131 ,2 ,10 ,46 ,29 ,25 ,1 ,1 ,11 ,5 ,42 ,0 ,5 ,15 ,11 ,6 ,0 ,0 ,2 ,2 ,89 ,2 ,5 ,32 ,18 ,19 ,1 ,1 ,9 ,4 
06432010," Groß-Umstadt, Stadt",513 ,9 ,56 ,194 ,122 ,121 ,2 ,7 ,48 ,30 ,187 ,4 ,27 ,62 ,44 ,32 ,0 ,3 ,9 ,7 ,326 ,6 ,28 ,132 ,77 ,89 ,1 ,4 ,40 ,24 
06432011, Groß-Zimmern,559 ,13 ,59 ,168 ,98 ,165 ,3 ,11 ,46 ,24 ,134 ,1 ,21 ,45 ,30 ,21 ,0 ,3 ,5 ,4 ,425 ,11 ,38 ,123 ,67 ,144 ,3 ,8 ,41 ,20 
06432012, Messel,76 ,1 ,7 ,30 ,21 ,15 ,0 ,2 ,5 ,4 ,32 ,0 ,4 ,11 ,7 ,3 ,0 ,1 ,1 ,0 ,44 ,1 ,3 ,19 ,14 ,12 ,0 ,1 ,4 ,4 
06432013, Modautal,84 ,1 ,9 ,28 ,16 ,9 ,0 ,0 ,3 ,1 ,34 ,1 ,7 ,12 ,8 ,3 ,0 ,0 ,1 ,1 ,50 ,1 ,2 ,15 ,8 ,6 ,0 ,0 ,1 ,0 
06432014, Mühltal,209 ,2 ,19 ,65 ,42 ,40 ,0 ,5 ,9 ,6 ,101 ,1 ,9 ,35 ,23 ,14 ,0 ,1 ,4 ,2 ,108 ,2 ,9 ,30 ,19 ,26 ,0 ,4 ,5 ,4 
06432015, Münster,452 ,7 ,42 ,141 ,84 ,130 ,3 ,9 ,28 ,15 ,148 ,1 ,18 ,53 ,41 ,28 ,0 ,3 ,4 ,3 ,304 ,6 ,24 ,88 ,43 ,102 ,3 ,6 ,23 ,13 
06432016," Ober-Ramstadt, Stadt",424 ,9 ,50 ,132 ,76 ,86 ,0 ,6 ,21 ,10 ,145 ,2 ,18 ,56 ,35 ,22 ,0 ,2 ,6 ,4 ,279 ,7 ,32 ,76 ,41 ,64 ,0 ,4 ,15 ,7 
06432017, Otzberg,124 ,2 ,12 ,41 ,24 ,11 ,0 ,0 ,3 ,2 ,61 ,1 ,8 ,22 ,17 ,2 ,0 ,0 ,2 ,2 ,63 ,1 ,4 ,19 ,7 ,8 ,0 ,0 ,1 ,0 
06432018," Pfungstadt, Stadt",766 ,11 ,75 ,254 ,166 ,190 ,2 ,14 ,57 ,28 ,253 ,4 ,37 ,96 ,69 ,50 ,0 ,6 ,14 ,8 ,513 ,6 ,38 ,158 ,97 ,140 ,2 ,9 ,43 ,20 
06432019," Reinheim, Stadt",514 ,9 ,50 ,157 ,95 ,106 ,2 ,11 ,20 ,11 ,153 ,3 ,25 ,56 ,41 ,20 ,1 ,5 ,5 ,2 ,362 ,6 ,25 ,100 ,54 ,86 ,1 ,6 ,16 ,9 
06432020, Roßdorf,317 ,9 ,38 ,87 ,53 ,108 ,2 ,8 ,22 ,14 ,99 ,3 ,14 ,34 ,22 ,22 ,1 ,2 ,5 ,4 ,218 ,6 ,24 ,53 ,30 ,85 ,1 ,5 ,17 ,10 
06432021, Schaafheim,213 ,4 ,25 ,65 ,41 ,24 ,0 ,2 ,6 ,4 ,89 ,2 ,14 ,32 ,24 ,10 ,0 ,1 ,3 ,2 ,124 ,2 ,11 ,33 ,17 ,14 ,0 ,1 ,2 ,2 
06432022, Seeheim-Jugenheim,278 ,3 ,27 ,82 ,50 ,53 ,1 ,7 ,12 ,8 ,104 ,0 ,12 ,37 ,21 ,12 ,0 ,1 ,3 ,1 ,174 ,3 ,15 ,45 ,29 ,41 ,1 ,6 ,9 ,7 
06432023," Weiterstadt, Stadt",690 ,20 ,80 ,223 ,136 ,170 ,5 ,18 ,44 ,24 ,266 ,5 ,31 ,100 ,67 ,45 ,1 ,4 ,11 ,6 ,424 ,15 ,48 ,124 ,68 ,125 ,4 ,14 ,33 ,18 
06433, Groß-Gerau,"8,311 ",178 ,872 ,"1,942 ","1,050 ","3,295 ",64 ,294 ,581 ,277 ,"2,418 ",45 ,402 ,740 ,505 ,578 ,8 ,104 ,113 ,76 ,"5,893 ",133 ,471 ,"1,202 ",545 ,"2,717 ",56 ,190 ,468 ,201 
06433001, Biebesheim am Rhein,146 ,6 ,22 ,34 ,19 ,40 ,2 ,5 ,9 ,5 ,56 ,2 ,12 ,14 ,9 ,11 ,0 ,3 ,2 ,1 ,90 ,4 ,10 ,21 ,10 ,29 ,2 ,2 ,8 ,4 
06433002, Bischofsheim,385 ,6 ,43 ,72 ,38 ,146 ,2 ,12 ,15 ,10 ,124 ,2 ,28 ,35 ,20 ,28 ,0 ,7 ,4 ,2 ,261 ,4 ,15 ,37 ,18 ,118 ,2 ,4 ,11 ,8 
06433003, Büttelborn,292 ,5 ,32 ,72 ,37 ,80 ,1 ,6 ,14 ,4 ,129 ,1 ,18 ,37 ,26 ,21 ,0 ,2 ,4 ,2 ,162 ,4 ,14 ,35 ,11 ,59 ,1 ,4 ,10 ,2 
06433004," Gernsheim, Schöfferstadt",235 ,4 ,30 ,74 ,40 ,40 ,1 ,4 ,9 ,5 ,89 ,1 ,14 ,33 ,22 ,9 ,0 ,2 ,2 ,2 ,146 ,3 ,15 ,40 ,18 ,30 ,1 ,2 ,7 ,2 
06433005," Ginsheim-Gustavsburg, Stadt",450 ,8 ,44 ,103 ,62 ,147 ,2 ,9 ,22 ,11 ,140 ,5 ,24 ,44 ,35 ,31 ,1 ,5 ,5 ,2 ,310 ,3 ,19 ,59 ,26 ,116 ,1 ,4 ,18 ,9 
