,Bundesland,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 1)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 6)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 11)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 16)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 21)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 26)",,,
,"Regierungsbezirk
Kreis",,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre
Schlüssel,Gemeinde,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 
01051064, Kuden,17 ,1 ,3 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12 ,1 ,2 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051065, Lehe,39 ,1 ,4 ,12 ,6 ,0 ,0 ,0 ,0 ,0 ,18 ,0 ,2 ,7 ,6 ,0 ,0 ,0 ,0 ,0 ,21 ,1 ,2 ,4 ,1 ,0 ,0 ,0 ,0 ,0 
01051067, Lieth,16 ,0 ,2 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,1 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051068, Linden,28 ,0 ,3 ,6 ,3 ,1 ,0 ,0 ,0 ,0 ,10 ,0 ,2 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,18 ,0 ,1 ,3 ,1 ,1 ,0 ,0 ,0 ,0 
01051069, Lohe-Rickelshof,57 ,1 ,6 ,11 ,8 ,2 ,0 ,0 ,0 ,0 ,17 ,0 ,3 ,5 ,4 ,0 ,0 ,0 ,0 ,0 ,40 ,1 ,2 ,6 ,3 ,1 ,0 ,0 ,0 ,0 
01051071, Lunden,138 ,6 ,21 ,27 ,12 ,4 ,1 ,1 ,0 ,0 ,24 ,0 ,4 ,9 ,6 ,0 ,0 ,0 ,0 ,0 ,114 ,6 ,18 ,18 ,6 ,3 ,1 ,1 ,0 ,0 
01051072," Marne, Stadt",309 ,16 ,51 ,74 ,44 ,12 ,0 ,0 ,2 ,2 ,80 ,2 ,12 ,33 ,24 ,0 ,0 ,0 ,0 ,0 ,229 ,13 ,39 ,40 ,20 ,11 ,0 ,0 ,2 ,2 
01051073, Marnerdeich,22 ,1 ,2 ,7 ,6 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,1 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,15 ,1 ,1 ,4 ,4 ,0 ,0 ,0 ,0 ,0 
01051074," Meldorf, Stadt",328 ,10 ,48 ,65 ,35 ,19 ,0 ,2 ,3 ,0 ,92 ,1 ,17 ,27 ,18 ,4 ,0 ,1 ,1 ,0 ,236 ,9 ,31 ,38 ,17 ,15 ,0 ,1 ,2 ,0 
01051075, Neuenkirchen,31 ,1 ,3 ,8 ,3 ,2 ,0 ,0 ,0 ,0 ,10 ,1 ,2 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,22 ,1 ,2 ,5 ,1 ,1 ,0 ,0 ,0 ,0 
01051076, Neufeld,22 ,1 ,3 ,9 ,4 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,2 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,13 ,1 ,1 ,5 ,2 ,0 ,0 ,0 ,0 ,0 
01051077, Neufelderkoog,2 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051078, Nindorf,28 ,0 ,2 ,6 ,4 ,2 ,0 ,0 ,0 ,0 ,9 ,0 ,1 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,19 ,0 ,1 ,2 ,1 ,2 ,0 ,0 ,0 ,0 
01051079, Norddeich,14 ,1 ,4 ,5 ,3 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,3 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
01051080, Norderheistedt,8 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051081, Norderwöhrden,7 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
01051082, Nordhastedt,113 ,4 ,14 ,20 ,11 ,7 ,0 ,0 ,1 ,1 ,44 ,2 ,5 ,11 ,6 ,1 ,0 ,0 ,0 ,0 ,69 ,2 ,8 ,9 ,5 ,5 ,0 ,0 ,1 ,1 
